iter	Passed	Remaining
0	7	7188
1	14	7357
2	19	6640
3	27	6961
4	32	6399
5	38	6399
6	45	6436
7	49	6114
8	55	6161
9	63	6255
10	67	6099
11	76	6275
12	80	6120
13	86	6108
14	94	6182
15	98	6033
16	105	6096
17	110	6018
18	117	6060
19	124	6119
20	129	6021
21	139	6218
22	144	6143
23	151	6161
24	158	6195
25	165	6186
26	172	6226
27	177	6164
28	184	6181
29	192	6215
30	199	6238
31	207	6269
32	212	6217
33	221	6289
34	225	6223
35	232	6218
36	238	6217
37	243	6152
38	249	6139
39	256	6151
40	260	6091
41	266	6082
42	274	6099
43	280	6087
44	287	6096
45	291	6044
46	297	6041
47	304	6048
48	309	5997
49	315	5988
50	322	6000
51	327	5968
52	335	5992
53	339	5948
54	346	5951
55	353	5958
56	357	5914
57	363	5911
58	371	5922
59	376	5894
60	384	5923
61	389	5887
62	395	5884
63	402	5890
64	406	5849
65	412	5842
66	420	5849
67	424	5818
68	433	5844
69	437	5812
70	444	5812
71	451	5817
72	455	5783
73	461	5780
74	469	5788
75	473	5760
76	482	5783
77	486	5752
78	493	5753
79	500	5755
80	504	5723
81	511	5721
82	518	5726
83	522	5700
84	531	5718
85	535	5691
86	542	5692
87	549	5693
88	553	5663
89	559	5660
90	567	5665
91	571	5640
92	579	5655
93	584	5634
94	591	5632
95	598	5633
96	602	5608
97	608	5604
98	616	5607
99	620	5584
100	629	5600
101	633	5576
102	640	5575
103	647	5575
104	651	5550
105	657	5547
106	664	5549
107	669	5526
108	678	5544
109	682	5523
110	689	5521
111	696	5522
112	700	5499
113	707	5496
114	714	5499
115	719	5481
116	726	5485
117	731	5465
118	737	5460
119	745	5463
120	749	5441
121	755	5438
122	763	5441
123	769	5432
124	776	5433
125	780	5413
126	786	5409
127	793	5408
128	798	5389
129	804	5383
130	811	5383
131	815	5364
132	822	5362
133	828	5355
134	835	5350
135	841	5347
136	846	5329
137	852	5325
138	860	5328
139	864	5312
140	870	5303
141	877	5304
142	884	5300
143	891	5299
144	895	5281
145	902	5277
146	909	5277
147	914	5262
148	919	5253
149	927	5254
150	933	5246
151	940	5246
152	944	5230
153	951	5225
154	958	5225
155	963	5210
156	968	5201
157	973	5187
158	979	5183
159	986	5180
160	990	5164
161	997	5159
162	1004	5158
163	1008	5142
164	1014	5135
165	1021	5133
166	1026	5118
167	1032	5111
168	1039	5109
169	1045	5106
170	1169	5671
171	1257	6052
172	1276	6101
173	1308	6213
174	1323	6238
175	1457	6821
176	1472	6847
177	1500	6927
178	1553	7125
179	1566	7136
180	1572	7116
181	1581	7107
182	1593	7114
183	1603	7110
184	1610	7095
185	1619	7087
186	1627	7075
187	1678	7248
188	1705	7316
189	1716	7315
190	1722	7296
191	1731	7285
192	1742	7286
193	1758	7306
194	1771	7314
195	1783	7315
196	1796	7323
197	1806	7315
198	1817	7317
199	1832	7328
200	1841	7321
201	1853	7321
202	1864	7319
203	1877	7325
204	1893	7341
205	1900	7326
206	1914	7333
207	1923	7325
208	1932	7314
209	1944	7314
210	1953	7304
211	1962	7293
212	1970	7282
213	1980	7274
214	1990	7268
215	1997	7250
216	2007	7243
217	2014	7227
218	2023	7215
219	2028	7192
220	2035	7174
221	2042	7158
222	2046	7131
223	2052	7111
224	2060	7096
225	2066	7077
226	2073	7062
227	2078	7037
228	2084	7019
229	2092	7004
230	2096	6980
231	2105	6971
232	2110	6946
233	2116	6929
234	2123	6913
235	2127	6888
236	2134	6871
237	2141	6857
238	2147	6838
239	2155	6824
240	2159	6800
241	2166	6784
242	2173	6769
243	2177	6746
244	2183	6728
245	2191	6715
246	2196	6696
247	2204	6683
248	2208	6661
249	2215	6647
250	2223	6633
251	2228	6613
252	2236	6603
253	2240	6581
254	2247	6566
255	2254	6551
256	2258	6530
257	2264	6513
258	2271	6499
259	2276	6478
260	2281	6460
261	2288	6447
262	2294	6430
263	2301	6416
264	2306	6396
265	2312	6381
266	2319	6368
267	2363	6455
268	2372	6448
269	2389	6460
270	2410	6484
271	2424	6489
272	2439	6497
273	2462	6523
274	2488	6560
275	2505	6572
276	2520	6578
277	2536	6587
278	2552	6597
279	2565	6597
280	2582	6608
281	2602	6626
282	2619	6635
283	2630	6632
284	2639	6622
285	2651	6620
286	2668	6629
287	2683	6633
288	2691	6622
289	2703	6619
290	2734	6661
291	2767	6710
292	2817	6798
293	2846	6836
294	2869	6856
295	2893	6882
296	2910	6889
297	2923	6886
298	2944	6904
299	2980	6953
300	3080	7152
301	3122	7216
302	3195	7351
303	3206	7341
304	3222	7342
305	3247	7365
306	3327	7512
307	3428	7703
308	3448	7711
309	3461	7704
310	3510	7776
311	3546	7820
312	3558	7811
313	3583	7829
314	3595	7818
315	3618	7832
316	3625	7810
317	3636	7799
318	3650	7793
319	3662	7782
320	3673	7770
321	3686	7762
322	3695	7745
323	3711	7744
324	3722	7730
325	3735	7724
326	3751	7720
327	3777	7739
328	3804	7759
329	3820	7756
330	3833	7747
331	3839	7725
332	3849	7711
333	3863	7704
334	3871	7685
335	3883	7674
336	3893	7660
337	3904	7647
338	3919	7642
339	3932	7633
340	3941	7617
341	3953	7606
342	3967	7600
343	4008	7644
344	4019	7631
345	4031	7620
346	4036	7595
347	4048	7584
348	4052	7559
349	4061	7543
350	4066	7519
351	4074	7501
352	4082	7482
353	4090	7463
354	4099	7449
355	4109	7434
356	4126	7433
357	4135	7416
358	4143	7398
359	4147	7374
360	4155	7355
361	4162	7335
362	4170	7317
363	4178	7300
364	4186	7282
365	4193	7263
366	4197	7239
367	4207	7225
368	4212	7202
369	4219	7184
370	4227	7166
371	4234	7148
372	4241	7130
373	4246	7107
374	4254	7091
375	4261	7072
376	4268	7053
377	4276	7037
378	4283	7018
379	4291	7002
380	4295	6979
381	4306	6966
382	4310	6944
383	4318	6927
384	4326	6910
385	4333	6892
386	4341	6876
387	4346	6855
388	4355	6840
389	4375	6843
390	4402	6857
391	4413	6846
392	4430	6842
393	4446	6839
394	4460	6832
395	4474	6824
396	4495	6827
397	4517	6833
398	4545	6846
399	4568	6852
400	4588	6853
401	4595	6836
402	4603	6820
403	4610	6802
404	4618	6785
405	4625	6767
406	4633	6751
407	4638	6730
408	4646	6714
409	4652	6694
410	4658	6676
411	4670	6665
412	4709	6694
413	4732	6698
414	4748	6694
415	4764	6688
416	4779	6682
417	4787	6665
418	4800	6655
419	4809	6642
420	4817	6625
421	4834	6621
422	4851	6618
423	4872	6618
424	4888	6613
425	4898	6600
426	4908	6587
427	4916	6570
428	4928	6559
429	4934	6541
430	4946	6529
431	4960	6522
432	4968	6505
433	4975	6488
434	4980	6468
435	4987	6451
436	4996	6437
437	5003	6420
438	5012	6405
439	5028	6399
440	5054	6406
441	5075	6407
442	5100	6412
443	5119	6411
444	5146	6419
445	5179	6433
446	5198	6430
447	5215	6426
448	5234	6423
449	5250	6416
450	5262	6405
451	5272	6392
452	5283	6379
453	5295	6368
454	5299	6347
455	5305	6329
456	5313	6313
457	5318	6293
458	5326	6277
459	5330	6257
460	5337	6240
461	5344	6223
462	5348	6203
463	5357	6188
464	5362	6169
465	5367	6151
466	5374	6134
467	5379	6115
468	5386	6098
469	5393	6081
470	5397	6061
471	5403	6044
472	5410	6028
473	5415	6009
474	5422	5993
475	5427	5974
476	5439	5963
477	5444	5945
478	5468	5948
479	5476	5933
480	5484	5917
481	5492	5902
482	5497	5884
483	5505	5869
484	5510	5850
485	5516	5834
486	5523	5818
487	5528	5800
488	5534	5783
489	5541	5767
490	5545	5749
491	5553	5733
492	5558	5716
493	5564	5699
494	5571	5684
495	5575	5665
496	5582	5649
497	5589	5634
498	5593	5616
499	5599	5599
500	5607	5584
501	5613	5568
502	5620	5553
503	5625	5535
504	5631	5520
505	5639	5506
506	5646	5490
507	5655	5477
508	5663	5462
509	5670	5447
510	5674	5430
511	5680	5414
512	5687	5399
513	5693	5383
514	5701	5368
515	5705	5351
516	5712	5336
517	5718	5321
518	5723	5304
519	5729	5288
520	5736	5274
521	5741	5257
522	5747	5242
523	5753	5226
524	5759	5211
525	5764	5195
526	5770	5178
527	5776	5163
528	5780	5146
529	5786	5131
530	5792	5116
531	5801	5103
532	5807	5088
533	5813	5073
534	5818	5056
535	5824	5042
536	5831	5028
537	5835	5011
538	5842	4996
539	5849	4982
540	5854	4967
541	5861	4953
542	5866	4937
543	5871	4922
544	5878	4907
545	5882	4891
546	5888	4876
547	5894	4861
548	5899	4846
549	5905	4831
550	5912	4818
551	5916	4802
552	5922	4787
553	5929	4773
554	5934	4758
555	5940	4743
556	5946	4729
557	5952	4714
558	5958	4700
559	5962	4685
560	5969	4671
561	5976	4657
562	5980	4642
563	5987	4628
564	5994	4615
565	5999	4600
566	6007	4587
567	6011	4572
568	6018	4558
569	6025	4545
570	6029	4530
571	6036	4516
572	6043	4503
573	6047	4488
574	6053	4474
575	6061	4461
576	6067	4448
577	6074	4435
578	6079	4420
579	6085	4406
580	6092	4393
581	6097	4379
582	6105	4367
583	6110	4352
584	6117	4339
585	6128	4329
586	6143	4322
587	6158	4315
588	6167	4303
589	6177	4292
590	6207	4295
591	6222	4288
592	6250	4289
593	6284	4295
594	6295	4285
595	6308	4276
596	6322	4267
597	6328	4254
598	6336	4241
599	6341	4227
600	6348	4214
601	6355	4201
602	6359	4186
603	6365	4173
604	6373	4161
605	6380	4148
606	6387	4135
607	6392	4121
608	6398	4108
609	6406	4095
610	6412	4082
611	6420	4070
612	6424	4055
613	6430	4042
614	6437	4029
615	6441	4015
616	6447	4002
617	6454	3989
618	6461	3977
619	6469	3965
620	6473	3950
621	6479	3937
622	6486	3925
623	6491	3911
624	6498	3898
625	6503	3885
626	6510	3872
627	6516	3860
628	6521	3846
629	6527	3833
630	6534	3821
631	6538	3807
632	6545	3794
633	6552	3782
634	6557	3769
635	6563	3756
636	6569	3743
637	6577	3732
638	6585	3720
639	6590	3707
640	6597	3695
641	6602	3681
642	6609	3669
643	6615	3657
644	6620	3643
645	6626	3631
646	6632	3618
647	6637	3605
648	6643	3592
649	6650	3581
650	6655	3567
651	6661	3555
652	6667	3542
653	6672	3530
654	6680	3518
655	6684	3505
656	6691	3493
657	6698	3481
658	6702	3468
659	6708	3455
660	6715	3444
661	6720	3431
662	6728	3420
663	6733	3407
664	6739	3395
665	6746	3383
666	6750	3370
667	6757	3358
668	6764	3346
669	6769	3334
670	6776	3322
671	6781	3310
672	6787	3298
673	6794	3286
674	6799	3273
675	6805	3261
676	6812	3250
677	6816	3237
678	6827	3227
679	6831	3214
680	6838	3203
681	6846	3192
682	6852	3180
683	6859	3169
684	6864	3156
685	6870	3144
686	6877	3133
687	6881	3120
688	6887	3109
689	6894	3097
690	6899	3085
691	6907	3074
692	6912	3062
693	6918	3050
694	6922	3037
695	6930	3027
696	6936	3015
697	6943	3004
698	6948	2992
699	6954	2980
700	6960	2969
701	6966	2957
702	6973	2945
703	6977	2933
704	6984	2922
705	6991	2911
706	6995	2899
707	7001	2887
708	7008	2876
709	7013	2864
710	7019	2853
711	7025	2841
712	7031	2830
713	7036	2818
714	7045	2808
715	7051	2796
716	7056	2785
717	7062	2774
718	7070	2763
719	7074	2751
720	7081	2740
721	7087	2729
722	7093	2717
723	7099	2706
724	7104	2694
725	7111	2683
726	7118	2673
